epoch,acc,accuracy,learning_rate,loss,top_2_acc,val_acc,val_accuracy,val_loss,val_top_2_acc
0,0.19488054513931274,0.19488054513931274,9.999999747378752e-05,1.6400022506713867,0.42525598406791687,0.23497267067432404,0.23497267067432404,1.5866987705230713,0.505464494228363
1,0.1959044337272644,0.1959044337272644,9.999999747378752e-05,1.6268702745437622,0.4266211688518524,0.06010929122567177,0.06010929122567177,1.6460245847702026,0.28961747884750366
2,0.21160408854484558,0.21160408854484558,9.999999747378752e-05,1.622168779373169,0.44061434268951416,0.06010929122567177,0.06010929122567177,1.6272811889648438,0.20765027403831482
3,0.19522184133529663,0.19522184133529663,9.999999747378752e-05,1.6199291944503784,0.4143344759941101,0.14480873942375183,0.14480873942375183,1.618999719619751,0.35245901346206665
4,0.1706484705209732,0.1706484705209732,9.999999747378752e-05,1.6166330575942993,0.37781569361686707,0.09289617836475372,0.09289617836475372,1.622778058052063,0.2540983557701111
5,0.20546075701713562,0.20546075701713562,9.999999747378752e-05,1.621347188949585,0.4112628102302551,0.0901639312505722,0.0901639312505722,1.608604907989502,0.28961747884750366
6,0.18020477890968323,0.18020477890968323,4.999999873689376e-05,1.6084274053573608,0.3863481283187866,0.13387978076934814,0.13387978076934814,1.6123309135437012,0.27595627307891846
7,0.2211604118347168,0.2211604118347168,4.999999873689376e-05,1.6081361770629883,0.4416382312774658,0.14754098653793335,0.14754098653793335,1.6161106824874878,0.3360655605792999
8,0.2238907814025879,0.2238907814025879,4.999999873689376e-05,1.6016080379486084,0.4426621198654175,0.15027321875095367,0.15027321875095367,1.6172982454299927,0.3333333432674408
9,0.1959044337272644,0.1959044337272644,4.999999873689376e-05,1.607970118522644,0.4324232041835785,0.1147540956735611,0.1147540956735611,1.6144016981124878,0.3442623019218445
10,0.17952218651771545,0.17952218651771545,4.999999873689376e-05,1.6104029417037964,0.40273037552833557,0.17759563028812408,0.17759563028812408,1.6080323457717896,0.3961748778820038
11,0.18464164435863495,0.18464164435863495,2.499999936844688e-05,1.6087230443954468,0.4051194489002228,0.16939890384674072,0.16939890384674072,1.610849142074585,0.45628416538238525
12,0.19453924894332886,0.19453924894332886,2.499999936844688e-05,1.6080772876739502,0.42081910371780396,0.18852458894252777,0.18852458894252777,1.6098766326904297,0.4234972596168518
13,0.19692832231521606,0.19692832231521606,2.499999936844688e-05,1.601191759109497,0.4327645003795624,0.22131147980690002,0.22131147980690002,1.6086499691009521,0.34972676634788513
14,0.20409555733203888,0.20409555733203888,2.499999936844688e-05,1.609418272972107,0.43549486994743347,0.2322404384613037,0.2322404384613037,1.6061643362045288,0.35519126057624817
15,0.22935153543949127,0.22935153543949127,2.499999936844688e-05,1.6052687168121338,0.4515358507633209,0.26229506731033325,0.26229506731033325,1.6054964065551758,0.34972676634788513
